acronym;title;ranksys;rank;field
AAAI;National Conference of the American Association for Artificial Intelligence;CORE2020;A*;Artificial intelligence
AAMAS;International Joint Conference on Autonomous Agents and Multiagent Systems;CORE2020;A*;Artificial intelligence
ACL;Association of Computational Linguistics;CORE2020;A*;Artificial intelligence
ACMMM;ACM Multimedia;CORE2020;A*;Computer vision and multimedia computation
ASPLOS;Architectural Support for Programming Languages and Operating Systems;CORE2020;A*;Software engineering
CAV;Computer Aided Verification;CORE2020;A*;Software engineering
CCS;ACM Conference on Computer and Communications Security;CORE2020;A*;Cybersecurity and privacy
CHI;International Conference on Human Factors in Computing Systems;CORE2020;A*;Human-centred computing
COLT;Conference on Learning Theory;CORE2020;A*;Machine learning
CRYPTO;Advances in Cryptology;CORE2020;A*;Cybersecurity and privacy
CVPR;IEEE Conference on Computer Vision and Pattern Recognition;CORE2020;A*;Computer vision and multimedia computation
DCC;Data Compression Conference;CORE2020;A*;Data management and data science
EC;ACM Conference on Economics and Computation;CORE2020;A*;Artificial intelligence
ESEC/FSE;European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering;CORE2020;A*;Software engineering
EuroCrypt;International Conference on the Theory and Application of Cryptographic Techniques;CORE2020;A*;Cybersecurity and privacy
FOCS;IEEE Symposium on Foundations of Computer Science;CORE2020;A*;Theory of computation
FOGA;Foundations of Genetic Algorithms;CORE2020;A*;Artificial intelligence
HPCA;International Symposium on High Performance Computer Architecture;CORE2020;A*;Distributed computing and systems software
ICAPS;International Conference on Automated Planning and Scheduling;CORE2020;A*;Artificial intelligence
ICCV;IEEE International Conference on Computer Vision;CORE2020;A*;Computer vision and multimedia computation
ICDE;International Conference on Data Engineering;CORE2020;A*;Data management and data science
ICDM;IEEE International Conference on Data Mining;CORE2020;A*;Data management and data science
ICFP;International Conference on Functional Programming;CORE2020;A*;Software engineering
ICML;International Conference on Machine Learning;CORE2020;A*;Machine learning
ICSE;International Conference on Software Engineering;CORE2020;A*;Software engineering
IEEE InfoVis;IEEE Information Visualization Conference;CORE2020;A*;Human-centred computing
IJCAI;International Joint Conference on Artificial Intelligence;CORE2020;A*;Artificial intelligence
IJCAR;International Joint Conference on Automated Reasoning;CORE2020;A*;Artificial intelligence
INFOCOM;IEEE International Conference on Computer Communications;CORE2020;A*;Distributed computing and systems software
IPSN;Information Processing in Sensor Networks;CORE2020;A*;Distributed computing and systems software
ISCA;ACM International Symposium on Computer Architecture;CORE2020;A*;Software engineering
ISMAR;IEEE/ACM International Symposium on Mixed and Augmented Reality;CORE2020;A*;Graphics, augmented reality and games
ISSAC;International Symposium on Symbolic and Algebraic Computation;CORE2020;A*;Theory of computation
ISWC;IEEE International Symposium on Wearable Computers;CORE2020;A*;Human-centred computing
KDD;ACM International Conference on Knowledge Discovery and Data Mining;CORE2020;A*;Data management and data science
KR;International Conference on the Principles of Knowledge Representation and Reasoning;CORE2020;A*;Artificial intelligence
